#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
8289,Uncanny Islands,"Mar 2, 2018",8.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Qucheza,Qucheza
8290,ZoneDriver,"Mar 29, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Cybertime System,Cybertime System
8291,Path to Mnemosyne,"Sep 26, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),DevilishGames,DevilishGames
8292,Bikini Heaven,"Sep 28, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),MCON,MCON
8293,Quanect,"Apr 13, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Chrnk.ru,Chrnk.ru
8294,Achievement Creator,"Jul 20, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),DRUNKEN APES,DRUNKEN APES
8295,Beyond Minimalism,"Jun 18, 2018",3.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),SaintHeiser,Dagestan Technology
8296,Labirinto,"Jan 9, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Iriya72,Iriya72
8297,Toki Time Trial,"Jul 20, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),DigiPen Press,DigiPen Press
8298,7 Soccer: a sci-fi soccer tale,"Feb 14, 2018",6.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Mario D'Eliso ""Elis-D""",Mario D'Eliso
8299,Psychiatrist Simulator,"Feb 13, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Eathrabaria,Eathrabaria
8300,Rise: Race The Future,"Nov 1, 2018",11.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),VD-dev,VD-dev
8301,Beyond,"Oct 31, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Tired Dad Games,Tired Dad Games
8303,SFD : Rogue TRPG,"Aug 17, 2018",7.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),icefill,icefill
8304,Conjure Strike,"Sep 28, 2018",14.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),The Strike Team,The Strike Team
8305,Gunman Tales,"Aug 1, 2018",7.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),FobTi interactive,FobTi interactive
8306,keyg,"Dec 13, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Axel Sonic,Axel Sonic
8307,Brick Breaker Premium 3,"Jun 22, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),LoadUpGames.com,LoadUpGames.com
8308,Invasion,"Jun 15, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),brutalsoft,brutalsoft
8309,DARCO - Reign of Elements,"May 4, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),TP-STUDIOS,TP-STUDIOS
8310,Pathosis,"Apr 10, 2018",5.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Acylis Studios UF,Acylis Studios UF
8311,The m0rg VS keys,"Mar 29, 2018",0.49,N/A (N/A),"0 .. 20,000",00:00 (00:00),Zloy Krot Studio,Zloy Krot Studio
8314,R-COIL,"Feb 5, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Vector Hat,Vector Hat
8315,Olorun: Theocracy,"Aug 20, 2018",16.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),AJetBear Entertainment,AJetBear Entertainment
8316,Super Darts VR,"Nov 14, 2018",7.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Octamon Co., Ltd.","Octamon Co., Ltd."
8317,Jet-Story 2018,"Jul 3, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Miroslav Fídler,CYBEXLAB
8319,Get To A Gun,"Oct 9, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),The End Studios,The End Studios
8320,The Watchmaker,"May 17, 2018",14.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Micropsia Games,1C Entertainment
8321,GM Forge - Virtual Tabletop,"May 30, 2018",29.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Game Master LLC,Game Master LLC
8322,Parkour Polygon,"Sep 21, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Jonah Gasson,Jonah Gasson
8323,Din's Legacy,"Sep 17, 2018",17.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Soldak Entertainment,Soldak Entertainment
8324,LoveKami -Healing Harem-,"Nov 14, 2018",12.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),MoeNovel,MoeNovel
8325,Tiger Fighter 1931,"Aug 15, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),TigerQiuQiu,TigerQiuQiu
8327,STARBO,"Jan 4, 2018",5.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Diax Game,Diax Game
8328,Grid Gunner,"Jul 27, 2018",1.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Studio Cypix,Studio Cypix
8329,Light Tracer (VR & NON-VR),"Jan 14, 2018",14.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Void Dimensions,Oasis Games
8330,ERROR: Human Not Found,"Jan 12, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),CelleC Games,CelleC Games
8331,Warlock: Tower Defence,"Jun 8, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Snowdon Games,Snowdon Games
8332,Short Life,"Nov 14, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),gametornado,gametornado
8333,Super Blasting Boy,"Oct 27, 2018",0.49,N/A (N/A),"0 .. 20,000",00:00 (00:00),BekkerDev Studio,BekkerDev Studio
8334,Haunted Legends: The Stone Guest Collector's Edition,"May 2, 2018",N/A,N/A (N/A),"0 .. 20,000",00:00 (00:00),ERS G Studios,Big Fish Games
8335,Sheep Game,"Apr 27, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),David Lewis,David Lewis
8336,Shape of America: Episode One,"Feb 21, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),kuklam studios,kuklam studios
